,rotowire_id,sportradar_id,full_name,gsis_id,search_full_name,news_updated,position,rotoworld_id,depth_chart_position,injury_start_date,injury_notes,last_name,espn_id,yahoo_id,sport,pandascore_id,first_name,injury_body_part,stats_id,age,birth_country,number,player_id,weight,status,search_first_name,practice_participation,birth_state,search_last_name,team,oddsjam_id,practice_description,birth_date,search_rank,injury_status,hashtag,swish_id,height,active,high_school,depth_chart_order,fantasy_positions,years_exp,metadata,fantasy_data_id,college,birth_city
5843,13461,ab5d4d72-fb1c-4aeb-887b-f6ca35f679bf,Devin Bush, 00-0035525,devinbush,1697387115794,LB,14063,LILB,,,Bush,4036261,31842,nfl,,Devin,,,25,,0,5843,234,Active,devin,,,bush,SEA,A380B437303C,,1998-07-18,9999999,,#devinbush-NFL-SEA-0,910976,71,True,Charles W. Flanagan (FL),2,['LB'],4,{'rookie_year': '2019'},21054,Michigan,
7719,15439,8f5245fb-27ed-4a5d-93ea-ca354e670731,Jordan Smith,,jordansmith,1685672143177,DE,,LB,,,Smith,,,nfl,,Jordan,,,25,,92,7719,250,Active,jordan,,,smith,,,,1998-04-10,9999999,,#jordansmith-NFL-FA-92,910424,78,True,Lithonia (GA),,"['LB', 'DL']",2,,,UAB,
5620,13298,5dd762ce-5e26-4bcc-b868-529f0ab1d1b3,Elijaah Goins,,elijaahgoins,,FS,,,,,Goins,3915519,31608,nfl,,Elijaah,,878757,,,0,5620,200,Active,elijaah,,,goins,,,,,9999999,,#elijaahgoins-NFL-FA-0,,73,True,,,['DB'],4,{'injury_override_regular_2020_5': 'Active'},20601,Ohio State,
5212,12499,1146776b-e591-4f81-8a56-459c1845bead,Hercules Mata'afa,00-0034215,herculesmataafa,1604762449863,DE,,DL,,,Mata'afa,3127274,31235,nfl,,Hercules,,835935,26,,0,5212,256,Active,hercules,,,mataafa,,,,1995-09-18,9999999,,#herculesmataafa-NFL-FA-0,835935,74,True,Lahainaluna (HI),,"['LB', 'DL']",4,,20162,Washington State,
4504,,fdc94755-aca2-4368-b286-575e7f6c3487,John Robinson-Woodgett,,johnrobinsonwoodgett,,RB,,,,,Robinson-Woodgett,2982839,30416,nfl,,John,,703309,28,,42,4504,247,Active,john,,,robinsonwoodgett,,,,1993-08-01,9999999,,#johnrobinsonwoodgett-NFL-FA-42,,73,True,Cathedral (MA),,['RB'],5,,19376,Massachusetts,
5567,12760,393cdcc9-20ec-4d07-b8bf-6848398b6ab8,Janarion Grant,00-0034307,janariongrant,1537901103250,WR,,,,,Grant,3047490,31506,nfl,,Janarion,,746179,28,,84,5567,180,Inactive,janarion,,,grant,,,,1993-11-20,9999999,,#janariongrant-NFL-FA-84,,69,False,Pasco,,['WR'],4,,20585,Rutgers,
6643,13997,a70ceaf4-61e2-4687-b77a-8d2f62eb1af1,Charles Holland,,charlesholland,1557865826649,WR,,,,,Holland,4069839,32467,nfl,,Charles,,1166934,,,0,6643,185,Active,charles,,,holland,,,,,9999999,,#charlesholland-NFL-FA-0,,76,False,West,,['WR'],0,{'override_active': 'false'},21527,Tiffin,
11223,17603,09934a90-ea04-11ed-8d34-41182339b277,John Hall,,johnhall,1693352703652,WR,,,,,Hall,,,nfl,,John,,,25,,82,11223,194,Active,john,,,hall,,,,1997-12-07,317,,#johnhall-NFL-FA-82,1447766,75,True,Macomb Dakota (MI),,['WR'],0,,,Northwood,
3302,10955,79b3e383-a993-4015-b761-2f725eac76c7,John Theus,,johntheus,1533161143839,OT,,,,,Theus,2977656,29379,nfl,,John,,,27,,74,3302,303,Inactive,john,,,theus,,,,1994-01-19,9999999,,#johntheus-NFL-FA-74,,78,False,Bolles (FL),,['OL'],6,,18063,Georgia,
4234,11849,36f62824-1cdb-4e9e-8a11-55df97e562b9,Noah Brown,00-0033591,noahbrown,1701391237838,WR,,RWR,,,Brown,3121409,30352,nfl,,Noah,Knee,836103,27,,85,4234,215,Active,noah,,,brown,HOU,EA12AF80F583,,1996-01-06,608,Questionable,#noahbrown-NFL-HOU-85,836103,74,True,Pope John XXIII (NJ),3,['WR'],6,{'rookie_year': '2017'},19080,Ohio State,
327,5232,318b9670-1dde-4e65-a92f-65df6e80824d,Joe Thomas,,joethomas,1521051602729,T,4152,,,,Thomas,10448,8257,nfl,,Joe,,563762,35,,73,327,312,Inactive,joe,,,thomas,,,,1984-12-04,9999999,,#joethomas-NFL-FA-73,,"6'6""",False,Brookfield Central (WI),,['OL'],13,,8135,Wisconsin,
2251,9323,b24625a0-d402-4d59-a778-aa4b073bfe5e,Logan Thomas,00-0031260,loganthomas,1700843136439,TE,9354,TE,,,Thomas,16813,27648,nfl,,Logan,,507528,32,,82,2251,250,Active,logan,,,thomas,WAS,EDCE80B57F5C,,1991-07-01,596,,#loganthomas-NFL-WAS-82,507528,78,True,Brookville (VA),1,['TE'],9,{'rookie_year': '2014'},16656,Virginia Tech,
3371,11190,b6ec1773-309e-422c-b82c-b55a557031d6,Darius Jackson,00-0033049,dariusjackson,1641448515299,RB,,RB,,,Jackson,2980197,29450,nfl,,Darius,,694135,28,,0,3371,220,Active,darius,,,jackson,,,,1993-12-01,670,,#dariusjackson-NFL-FA-0,694135,72,True,Sparta (IL),,['RB'],6,,18132,Eastern Michigan,
1077,8111,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,Travis Benjamin,00-0029269,travisbenjamin,1635697526973,WR,7562,,,,Benjamin,15062,25810,nfl,,Travis,,464646,32,,17,1077,175,Active,travis,,,benjamin,,,,1989-12-29,9999999,,#travisbenjamin-NFL-FA-17,464646,70,True,Glades Central (FL),,['WR'],10,,13887,Miami (FL),
1834,9944,ab49bafe-7023-46ce-9606-9a9823eabee6,Malcolm Butler,00-0031218,malcolmbutler,1693367403174,CB,10172,DB,,,Butler,17435,28244,nfl,,Malcolm,,704242,32,,4,1834,190,Inactive,malcolm,,,butler,,,,1990-03-02,9999999,,#malcolmbutler-NFL-FA-4,704242,71,True,Vicksburg (MS),,['DB'],8,{'injury_override_regular_2020_5': 'Active'},16035,West Alabama,
8058,15667,8f5392ce-36c3-4613-967c-abcec98f591c,Nate McCrary,,natemccrary,1698777027070,RB,,RB,,,McCrary,,,nfl,,Nate,,,24,,31,8058,213,Active,nate,,,mccrary,,C1C1760F2373,,1999-04-09,474,,#natemccrary-NFL-FA-31,1284191,72,True,Reeths-Puffer (MI),,['RB'],2,{'rookie_year': '2021'},,Saginaw Valley State,
1473,8908,578db999-6f6c-4b31-851c-9adb585e1c5a,Nick Kasa,,nickkasa,,TE,,,,,Kasa,15962,,nfl,,Nick,,500554,26,,84,1473,269,Inactive,nick,,,kasa,,,,1990-11-05,9999999,,#nickkasa-NFL-FA-84,,"6'6""",False,,,['TE'],2,,15068,Colorado,
5646,13276,b220a72d-6870-418a-98af-ef50632be774,Tae Davis,00-0034500,taedavis,1699066258190,LB,,RILB,,,Davis,3131775,31552,nfl,,Tae,,,27,,58,5646,222,Active,tae,,,davis,CAR,ECA1EFD52C09,,1996-08-14,9999999,,#taedavis-NFL-CAR-58,834389,72,True,Oxford (AL),2,['LB'],5,{'rookie_year': '2018'},20338,Chattanooga,
5033,12847,aafe4b32-1a8f-4691-9702-3141c14ff5c8,Dorian O'Daniel,00-0034781,dorianodaniel,1610831149642,LB,,LB,,,O'Daniel,3045132,31070,nfl,,Dorian,,,27,,44,5033,217,Active,dorian,,,odaniel,,,,1994-09-04,9999999,,#dorianodaniel-NFL-FA-44,733749,73,True,Our Lady of Good Counsel (MD),,['LB'],4,,19905,Clemson,
6372,14042,91671654-f27f-498a-b3ed-7bf006ee3f2b,Xavier Turner, 00-0035494,xavierturner,1576090851176,RB,,,,,Turner,3119996,32162,nfl,,Xavier,,835062,27,,41,6372,225,Active,xavier,,,turner,,,,1994-12-24,9999999,,#xavierturner-NFL-FA-41,,70,True,Birdville (TX),,['RB'],3,,21317,Tarleton State,
11283,17322,4b14b100-eb7d-11ed-bdbc-7f2763e63be6,Darius Hagans,,dariushagans,1693241149135,RB,,RB,,,Hagans,,,nfl,,Darius,,,24,,25,11283,210,Active,darius,,,hagans,,,,1999-07-11,622,,#dariushagans-NFL-FA-25,1190024,72,True,Grassfield (VA),,['RB'],0,,,Virginia State,
7945,15628,2ceadd29-bdc5-4143-b4a7-0533050e0f53,Chris Garrett,,chrisgarrett,1663212916190,LB,,LB,,,Garrett,,,nfl,,Chris,,,24,,48,7945,245,Active,chris,,,garrett,,,,1998-07-15,9999999,,#chrisgarrett-NFL-FA-48,1283820,76,True,Wisconsin Lutheran (WI),,"['LB', 'DL']",2,,,Concordia-St. Paul,
5160,13212,bfaf12ae-0199-4956-9ae7-d8a1dbfdfcd2,A.J. Howard,00-0034476,ajhoward,1584496517555,SS,,,,,Howard,3123667,31306,nfl,,A.J.,,,26,,39,5160,203,Active,aj,,,howard,,,,1995-12-23,9999999,,#ajhoward-NFL-FA-39,,71,True,Harris County (GA),,['DB'],4,,20087,Appalachian State,
4401,11688,a8dbddc6-b4c9-4c8e-86c8-2e49026e7418,Damore'ea Stringfellow,00-0033417,damoreeastringfellow,1536282602776,WR,,,,,Stringfellow,3052182,30653,nfl,,Damore'ea,,747911,27,,17,4401,222,Active,damoreea,,,stringfellow,,,,1994-10-18,9999999,,#damoreeastringfellow-NFL-FA-17,,74,True,Rancho Verde (CA),,['WR'],5,,19260,Mississippi,
7810,15484,b0501e9c-4f03-4bd8-baae-1e39b3ef751e,Ade Ogundeji,,adeogundeji,1692135017945,LB,,LB,,,Ogundeji,,,nfl,,Ade,Foot,,25,,92,7810,268,Inactive,ade,,,ogundeji,ATL,1C8793F6CBCA,,1998-10-09,9999999,IR,#adeogundeji-NFL-ATL-92,946108,76,True,Walled Lake (MI),,['DL'],2,{'rookie_year': '2021'},,Notre Dame,
3736,11478,23df9fc6-0fc7-4ad8-9f64-e4c8b939859f,Arturo Uzdavinis,,arturouzdavinis,,OT,,,,,Uzdavinis,2575421,29809,nfl,,Arturo,,,29,,65,3736,305,Active,arturo,,,uzdavinis,,,,1992-11-02,9999999,,#arturouzdavinis-NFL-FA-65,,79,True,Jesuit (FL),,['OL'],6,,18547,Tulane,
6620,14105,60798c13-45d8-4a6d-b04f-0afe219e3cbe,Javien Hamilton, 00-0035081,javienhamilton,1565388608706,CB,,,,,Hamilton,4242420,32269,nfl,,Javien,,,25,,47,6620,177,Inactive,javien,,,hamilton,,,,1996-09-02,9999999,,#javienhamilton-NFL-FA-47,,70,True,Bay Springs (MS),,['DB'],3,,21416,Mississippi,
7434,14941,5a90f110-9291-4688-84d5-2730898ba0bb,Kemah Siverand,,kemahsiverand,1614036613417,DB,,,,,Siverand,,,nfl,,Kemah,,,25,,34,7434,200,Inactive,kemah,,,siverand,,,,1996-11-12,9999999,,#kemahsiverand-NFL-FA-34,,73,True,Cypress Ridge (TX),,['DB'],2,,22413,Oklahoma State,
7038,14565,9a5ebed1-839d-40f9-a86e-ba9c65c7c7e6,Darius Anderson,,dariusanderson,1660167603307,RB,,RB,,,Anderson,4038533,33098,nfl,,Darius,,,25,,30,7038,212,Inactive,darius,,,anderson,,,,1997-09-10,303,Questionable,#dariusanderson-NFL-FA-30,913387,71,True,George Ranch (TX),,['RB'],2,,21792,TCU,
6832,14640,528b6f5c-7043-4c5a-bb04-7314b1e0f155,Kalija Lipscomb,,kalijalipscomb,1628815218411,WR,,,,,Lipscomb,4035277,32946,nfl,,Kalija,,,24,,19,6832,200,Active,kalija,,,lipscomb,,,,1997-10-06,9999999,,#kalijalipscomb-NFL-FA-19,,73,True,Jesuit (LA),,['WR'],2,,21716,Vanderbilt,
7152,14837,e44cc736-fe98-4b80-a138-4ebc5f087335,Sam Sloman,,samsloman,1666130445742,K,,K,,,Sloman,4038994,32918,nfl,,Sam,,,25,,1,7152,205,Active,sam,,,sloman,,,,1997-09-19,410,,#samsloman-NFL-FA-1,915966,68,True,Pace Academy (GA),,['K'],2,,22154,Miami (OH),
2180,9629,01b9599a-c8b9-4c79-94db-34c271baf07a,Tyler Starr,,tylerstarr,,LB,,,,,Starr,16856,27783,nfl,,Tyler,,,29,,52,2180,250,Inactive,tyler,,,starr,,,,1991-01-25,9999999,,#tylerstarr-NFL-FA-52,,"6'5""",False,George-Little Rock (IA),,['LB'],6,,16544,South Dakota,
6700,14319,a5b32b41-5394-41ab-b5ec-a8a0824b5605,Marcelias Sutton,,marceliassutton,1564015532496,RB,,,,,Sutton,4241403,32613,nfl,,Marcelias,,976239,,,0,6700,192,Active,marcelias,,,sutton,,,,,9999999,,#marceliassutton-NFL-FA-0,,69,True,James Kenan,,['RB'],3,,21614,Oklahoma,
4237,12035,db4eadbd-ef43-444c-9e33-1ee781dc9965,Marquez White,00-0033586,marquezwhite,1531878301459,CB,12418,,,,White,3045378,30329,nfl,,Marquez,,742157,27,,39,4237,172,Active,marquez,,,white,,,,1994-10-29,9999999,,#marquezwhite-NFL-FA-39,,73,True,Northview (AL),,['DB'],5,,19083,Florida State,
6466,14142,db9afb6c-3148-4e7a-8b3f-182fa8ad28bd,Daryle Banfield, 00-0035053,darylebanfield,,NT,,,,,Banfield,3912362,32245,nfl,,Daryle,,,24,,93,6466,308,Active,daryle,,,banfield,,,,1997-12-10,9999999,,#darylebanfield-NFL-FA-93,,75,True,St. Paul's School (NH),,['DL'],3,,21465,Brown,
6099,13731,889052f9-12d3-4540-af7f-2728c1ad91de,B.J. Blunt, 00-0034923,bjblunt,,ILB,,,,,Blunt,4250485,32181,nfl,,B.J.,,1069758,26,,48,6099,220,Active,bj,,,blunt,,,,1995-04-21,9999999,,#bjblunt-NFL-FA-48,,73,True,McDonough,,['LB'],3,,21034,McNeese State,
1731,8319,837d7d6f-a00e-472a-8183-d706ed994cd5,Johnnie Troutman,,johnnietroutman,,G,,,,,Troutman,15027,,nfl,,Johnnie,,,32,,63,1731,330,Inactive,johnnie,,,troutman,,,,1987-11-11,9999999,,#johnnietroutman-NFL-FA-63,,"6'4""",False,Pemberton (NJ),,['OL'],8,,15674,Penn State,
6978,,,Reggie Corbin,,reggiecorbin,,RB,,,,,Corbin,,,nfl,,Reggie,,,,,0,6978,201,Inactive,reggie,,,corbin,,,,,9999999,NA,#reggiecorbin-NFL-FA-0,,"5'8""",False,,,['RB'],0,{'override_active': 'false'},21805,Illinois,
278,,,Kevin Kolb,,kevinkolb,,QB,,,,,Kolb,,,nfl,,Kevin,,,33,,4,278,218,Inactive,kevin,,,kolb,,,,1984-08-24,9999999,,#kevinkolb-NFL-FA-4,,"6'3""",False,,,['QB'],7,,7034,Houston,
5014,12848,d24f72af-88e3-46d0-b132-1fe77e5c893b,Joe Noteboom,00-0034803,joenoteboom,1697841903059,OL,13210,OL,,,Noteboom,3040008,31059,nfl,,Joe,,,28,,70,5014,321,Active,joe,,,noteboom,LAR,9546D2DD76DB,,1995-06-19,9999999,,#joenoteboom-NFL-LAR-70,728003,77,True,Plano (TX),,"['OT', 'OL']",5,{'rookie_year': '2018'},19895,TCU,
4787,12320,e7db6483-9f69-4574-aed9-a36f1329d9e5,Jordan Westerkamp,,jordanwesterkamp,,WR,,,,,Westerkamp,2974334,30914,nfl,,Jordan,,651878,27,,0,4787,200,Active,jordan,,,westerkamp,,,,1994-06-23,9999999,,#jordanwesterkamp-NFL-FA-0,,72,True,Montini Catholic (IL),,['WR'],5,,19698,Nebraska,
8397,16145,8a8dfad0-d314-11ec-8b77-45b1765fd110,Juanyeh Thomas,,juanyehthomas,1698281446455,DB,,SS,,,Thomas,,,nfl,,Juanyeh,,,23,,30,8397,217,Active,juanyeh,,,thomas,DAL,57049D34CB19,,2000-06-24,9999999,,#juanyehthomas-NFL-DAL-30,1106740,75,True,Niceville (FL),2,['DB'],1,{'rookie_year': '2022'},,Notre Dame,
7887,15683,2786ef4a-83aa-4408-ac82-cee3e5c86e71,D'Angelo Amos,,dangeloamos,1624399501952,DB,,,,,Amos,,,nfl,,D'Angelo,,,,,43,7887,185,Active,dangelo,,,amos,DET,,,,,,#dangeloamos-NFL-DET-43,,73,True,Meadowbrook (VA),,['DB'],1,{'rookie_year': '2021'},,Virginia,
6925,14738,34853ce3-5e1f-4b23-b730-6f51444291ac,Essang Bassey,,essangbassey,1696476918161,CB,,NB,,,Bassey,4037216,32932,nfl,,Essang,,,25,,27,6925,190,Active,essang,,,bassey,LAC,C49AC950C262,,1998-08-12,9999999,,#essangbassey-NFL-LAC-27,910848,70,True,Columbus (GA),2,['DB'],3,{'rookie_year': '2020'},22086,Wake Forest,
5697,13327,50828eca-6954-47f9-8610-3bf7b7ff5e2b,Zach Olstad,,zacholstad,1534639510426,RB,,,,,Olstad,4339829,31700,nfl,,Zach,,1116601,28,,36,5697,245,Inactive,zach,,,olstad,,,,1993-12-06,9999999,,#zacholstad-NFL-FA-36,,71,True,Fillmore Central,,['RB'],4,,20616,Winona State,
8721,16462,b4be3630-cfa9-11ec-a024-8f80a1cdd928,De'Montre Tuggle,,demontretuggle,1661878223913,RB,,RB,,,Tuggle,,,nfl,,De'Montre,,,23,,0,8721,206,Active,demontre,,,tuggle,,,,1999-03-29,446,,#demontretuggle-NFL-FA-0,1174038,68,True,Channelview (TX),,['RB'],1,{'years_exp_shift': '1'},,Ohio,
402,,c25e9222-b7be-4ab9-ab3c-81fa72897e7c,Victor Butler,,victorbutler,,OLB,,,,,Butler,12641,,nfl,,Victor,,,30,,55,402,245,Inactive,victor,,,butler,,,,1987-07-29,9999999,,#victorbutler-NFL-FA-55,,"6'2""",False,,,['LB'],6,,8826,Oregon State,
4500,12284,eebb987d-dbe0-4d3a-95a4-33144c6bb53a,Andrew Lauderdale,00-0033500,andrewlauderdale,1565569235763,OT,,,,,Lauderdale,2969125,30413,nfl,,Andrew,,,28,,64,4500,291,Active,andrew,,,lauderdale,,,,1993-11-22,9999999,,#andrewlauderdale-NFL-FA-64,,78,True,Trinity (NH),,['OL'],5,,19372,New Hampshire,
3242,11002,a0b93053-d349-4dd1-a840-24577102699b,Kenyan Drake,00-0033118,kenyandrake,1701243352493,RB,11263,RB,,,Drake,2979843,29307,nfl,,Kenyan,,694588,29,,39,3242,211,Active,kenyan,,,drake,,9BAD2A445FA7,,1994-01-26,575,,#kenyandrake-NFL-FA-39,694588,73,True,Hillgrove (GA),,['RB'],7,{'rookie_year': '2016'},18003,Alabama,
3309,10806,c7d0a740-fcf2-4971-b1b6-43761d984bf9,Wendell Smallwood,00-0032782,wendellsmallwood,1641276961310,RB,11451,RB,,,Smallwood,3042429,29387,nfl,,Wendell,,728035,27,,38,3309,208,Active,wendell,,,smallwood,WAS,,,1994-01-20,334,,#wendellsmallwood-NFL-WAS-38,728035,70,True,Eastern Christian Academy (MD),,['RB'],6,{'injury_override_regular_2020_5': 'Active'},18070,West Virginia,
3140,,,Todd Monken,,toddmonken,1547440506089,,11254,,,,Monken,,,nfl,,Todd,,,,,0,3140,,Inactive,todd,,,monken,,,,,9999999,,#toddmonken-NFL-FA-0,,,False,,,,0,,17894,,
1513,8657,436e0e45-f07a-4674-b21f-4fd8e1f24583,Ezekiel Ansah,00-0030059,ezekielansah,1602383409908,DE,8385,,,,Ansah,15785,26628,nfl,,Ezekiel,,558874,32,,94,1513,275,Inactive,ezekiel,,,ansah,,,,1989-05-29,9999999,Questionable,#ezekielansah-NFL-FA-94,,77,True,Presbyterian Boys' Secondary (GHA),,"['LEO', 'LB', 'DL']",9,,15122,Brigham Young,
11416,,742bec00-f1ba-11ed-9bf1-7fd77a26dc1f,Chris Murray,,chrismurray,,OL,,OL,,,Murray,,,nfl,,Chris,,,23,,56,11416,304,Active,chris,,,murray,,,,2000-07-08,9999999,,#chrismurray-NFL-FA-56,1128104,74,True,Mater Dei (CA),,['OL'],0,,,Oklahoma,
8326,16148,71e85e20-d324-11ec-8b77-45b1765fd110,Jermaine Waller,,jermainewaller,,DB,,,,,Waller,,,nfl,,Jermaine,,,,,0,8326,180,Injured Reserve,jermaine,,,waller,,,,,9999999,,#jermainewaller-NFL-FA-0,1109765,72,True,Avalon School (DC),,['DB'],1,"{'years_exp_shift': '1', 'source_id': 'a9d43d27-87eb-4b6a-b6db-6a2b90998599'}",,Virginia Tech,
4245,12221,83ffd861-ffb0-4560-a79c-52acd2b6cb1e,Kyle Fuller,00-0033592,kylefuller,1679802910253,OL,,OL,,,Fuller,2978933,30356,nfl,,Kyle,,,29,,60,4245,315,Active,kyle,,,fuller,,272DEE85D7D8,,1994-03-04,9999999,,#kylefuller-NFL-FA-60,695376,76,True,Wylie (TX),,['OL'],6,,19091,Baylor,
4917,11729,4715105f-88a0-4b8e-98ac-8ccf7e512f27,Daryl Virgies,,darylvirgies,,RB,,,,,Virgies,,30097,nfl,,Daryl,,,29,,0,4917,205,Active,daryl,,,virgies,,,,1993-01-05,9999999,,#darylvirgies-NFL-FA-0,,,True,Trenton Central (NJ),,['RB'],5,,18835,Virginia-Lynchburg,
6231,14184,fbaa74ff-f6d3-4bbc-bdc1-12aae7fae484,John Lovett, 00-0035161,johnlovett,1691877048594,QB,,RB,,,Lovett,3118906,32364,nfl,,John,Undisclosed,832213,27,,46,6231,236,Active,john,,,lovett,,,,1996-04-25,9999999,Questionable,#johnlovett-NFL-FA-46,832213,74,True,DeMatha Catholic (MD),,['RB'],4,,21156,Princeton,
2910,,4f65dfb7-29a4-45dd-9b7d-95fd51132dbb,Tyler Rutenbeck,,tylerrutenbeck,,WR,,,,,Rutenbeck,,,nfl,,Tyler,,870442,,,0,2910,,Inactive,tyler,,,rutenbeck,,,,,9999999,,#tylerrutenbeck-NFL-FA-0,,,False,,,['WR'],,,17378,,
4093,12001,dfbbaf35-08d6-4f58-8577-c2e53a492454,Marcus Maye,00-0033892,marcusmaye,1701305759235,DB,,SS,,,Maye,2980110,30152,nfl,,Marcus,Shoulder,,30,,6,4093,207,Active,marcus,,,maye,NO,D35249D6F323,,1993-03-09,9999999,Questionable,#marcusmaye-NFL-NO-6,694621,72,True,Holy Trinity (FL),1,['DB'],6,{'rookie_year': '2017'},18939,Florida,
7922,15512,deac735c-af0a-4f01-ada8-379ef66917ba,Riley Patterson,,rileypatterson,1701110714997,K,,K,,,Patterson,,,nfl,,Riley,,,24,,36,7922,195,Active,riley,,,patterson,DET,03CC8B645AEC,,1999-09-07,206,,#rileypatterson-NFL-DET-36,1065025,72,True,Edwardsville (IL),1,['K'],2,{'rookie_year': '2021'},,Memphis,
6863,14614,208c5228-2b8d-414c-91a8-57d2fe4803b4,Lavert Hill,,laverthill,1693240548733,CB,,DB,,,Hill,4046538,32959,nfl,,Lavert,,,24,,25,6863,190,Active,lavert,,,hill,,,,1998-10-03,9999999,,#laverthill-NFL-FA-25,946023,70,True,Martin Luther King (MI),,['DB'],3,,22066,Michigan,
2757,10622,ef3eb284-4395-44c6-86c2-dd1fec7d2fd5,Micajah Reynolds,,micajahreynolds,,DT,,,,,Reynolds,17239,27931,nfl,,Micajah,,,27,,79,2757,307,Inactive,micajah,,,reynolds,,,,1990-01-24,9999999,,#micajahreynolds-NFL-FA-79,,"6'5""",False,,,['DL'],0,,17225,Michigan State,
4720,12317,2cf86b24-50e1-4047-83cb-afd82b17aa91,Dominique Hatfield,00-0033845,dominiquehatfield,1573603256747,CB,,,,,Hatfield,3052502,30865,nfl,,Dominique,,733254,27,,36,4720,178,Inactive,dominique,,,hatfield,,,,1994-12-13,9999999,,#dominiquehatfield-NFL-FA-36,,70,False,Crenshaw (CA),,['DB'],5,,19628,Utah,
481,6050,98a87efc-1bdd-49fd-8dd1-d03d41e6e374,Michael Oher,,michaeloher,,T,5182,,,,Oher,12621,9287,nfl,,Michael,,,34,,73,481,315,Inactive,michael,,,oher,,,,1986-05-28,9999999,,#michaeloher-NFL-FA-73,,"6'4""",False,Briarcrest Christian School (TN),,['OL'],11,,9795,Mississippi,
